Make,Model,Mileage,Year,Salesperson,Customer Name,Cost Price,Service Cost,Profit
Ford,Bronco,89184,2022,Sarah Wilson,Elizabeth Rodriguez,36490,2900,3420
Ford,Escape,13340,2017,Michael Brown,Mary Martinez,21231,2988,9357
Ford,Escape,17614,2024,Emily Davis,Elizabeth Garcia,35084,1591,784
Ford,Edge,108115,2022,Michael Brown,John Rodriguez,26765,2030,9967
Ford,Escape,73818,2024,John Carter,Mary Garcia,19952,660,5039
Ford,F-150,52598,2024,Michael Brown,Jennifer Brown,40500,1416,8438
Ford,Edge,57476,2024,John Carter,Robert Garcia,24560,646,7277
Ford,Mustang,99761,2021,Sarah Wilson,James Johnson,20081,1241,6440
Ford,Bronco,88816,2017,Emily Davis,Patricia Brown,47654,2065,6994
Ford,Bronco,13572,2018,Emily Davis,Robert Martinez,38459,1540,5019
Ford,F-150,75559,2022,Sarah Wilson,Jennifer Williams,46366,1611,7275
Ford,Mustang,111861,2019,John Carter,John Martinez,25712,2581,6798
Ford,Explorer,12171,2020,John Carter,James Rodriguez,20781,828,2907
Ford,Escape,87680,2021,John Carter,Patricia Jones,46003,1987,5026
Ford,Mustang,92545,2023,John Carter,Mary Brown,43123,1025,8804
Ford,Explorer,30664,2018,Emily Davis,Robert Davis,32024,2398,3884
Ford,Escape,66207,2019,Emily Davis,Robert Brown,21210,1137,2473
Ford,Edge,69689,2021,Emily Davis,James Brown,40808,2278,5474
Ford,Mustang,104738,2017,Emily Davis,Elizabeth Davis,24045,2035,5803
Ford,Explorer,85268,2019,John Carter,Mary Jones,49716,2422,4186
Ford,Mustang,8628,2021,John Carter,William Garcia,23456,518,4346
Ford,Explorer,22140,2024,Emily Davis,Robert Smith,23827,2294,3598
Ford,Bronco,48557,2019,Sarah Wilson,John Rodriguez,18222,1202,3201
Ford,F-150,28828,2016,Emily Davis,Robert Jones,48638,1058,9017
Ford,Mustang,68398,2018,John Carter,Elizabeth Miller,43461,1401,7637
Ford,Bronco,90740,2022,Michael Brown,Michael Miller,40612,2406,496
Ford,Bronco,76813,2015,John Carter,Linda Johnson,41577,813,6577
Ford,Explorer,15366,2015,Sarah Wilson,Linda Brown,16549,1633,7974
Ford,Mustang,20171,2015,Sarah Wilson,Patricia Miller,26553,2513,5021
Ford,Escape,54219,2022,John Carter,Jennifer Brown,48710,1683,5323
